BTCUSDT,ETHUSDT,XRPUSDT,SOLUSDT,TRXUSDT,WAVESUSDT,MATICUSDT,LTCUSDT,CHZUSDT,BCHUSDT,FTMUSDT,DOGEUSDT,BNBUSDT,NEARUSDT,GMTUSDT,DASHUSDT,AVAXUSDT
Short,Short,Short,Short,Short,Short,Short,Short,Short,Short,Short,Short,Short,Short,Short,Short,Short
Short,Short,Short,Short,Short,Short,Short,Short,Short,Short,Short,Short,Short,Short,Short,Short,Short
Short,Short,Short,Short,Short,Short,Short,Short,Short,Short,Short,Short,Short,Short,Short,Short,Short
Short,Short,Short,Short,Short,Short,Short,Short,Short,Short,Short,Short,Short,Short,Short,Short,Short
Short,Short,Short,Short,Short,Short,Short,Short,Short,Short,Short,Short,Short,Short,Short,Short,Short
Short,Short,Short,Short,Short,Short,Short,Short,Short,Short,Short,Short,Short,Short,Short,Short,Short
Short,Short,Short,Short,Short,Short,Short,Short,Short,Short,Short,Short,Short,Short,Short,Short,Short
Short,Short,Short,Short,Short,Short,Short,Short,Short,Short,Short,Short,Short,Short,Short,Short,Short
Short,Short,Short,Short,Short,Short,Short,Short,Short,Short,Short,Short,Short,Short,Short,Short,Short
Short,Short,Short,Short,Short,Short,Short,Short,Short,Short,Short,Short,Short,Short,Short,Short,Short
Short,Short,Short,Short,Short,Short,Short,Short,Short,Short,Short,Short,Short,Short,Short,Short,Short
Short,Short,Short,Short,Short,Short,Short,Short,Short,Short,Short,Short,Short,Short,Short,Short,Short
Short,Short,Short,Short,Short,Short,Short,Short,Short,Short,Short,Short,Short,Short,Short,Short,Short
Short,Short,Short,Short,Short,Short,Short,Short,Short,Short,Short,Short,Short,Short,Short,Short,Short
Short,Short,Short,Short,Short,Short,Short,Short,Short,Short,Short,Short,Short,Short,Short,Short,Short
Short,Short,Short,Short,Short,Short,Short,Short,Short,Short,Short,Short,Short,Short,Short,Short,Short
Short,Short,Short,Short,Short,Short,Short,Short,Short,Short,Short,Short,Short,Short,Short,Short,Short
Short,Short,Short,Short,Short,Short,Short,Short,Short,Short,Short,Short,Short,Short,Short,Short,Short
Short,Short,Short,Short,Short,Short,Short,Short,Short,Short,Short,Short,Short,Short,Short,Short,Short
Short,Short,Short,Short,Short,Short,Short,Short,Short,Short,Short,Short,Short,Short,Short,Short,Short
Short,Short,Short,Short,Short,Short,Short,Short,Short,Short,Short,Short,Short,Short,Short,Short,Short
Short,Short,Short,Short,Short,Short,Short,Short,Short,Short,Short,Short,Short,Short,Short,Short,Short
Short,Short,Short,Short,Short,Short,Short,Short,Short,Short,Short,Short,Short,Short,Short,Short,Short
Short,Short,Short,Short,Short,Short,Short,Short,Short,Short,Short,Short,Short,Short,Short,Short,Short
Short,Short,Short,Short,Short,Short,Short,Short,Short,Short,Short,Short,Short,Short,Short,Short,Short
Short,Short,Short,Short,Short,Short,Short,Short,Short,Short,Short,Short,Short,Short,Short,Short,Short
Short,Short,Short,Short,Short,Short,Short,Short,Short,Short,Short,Short,Short,Short,Short,Short,Short
Short,Short,Short,Short,Short,Short,Short,Short,Short,Short,Short,Short,Short,Short,Short,Short,Short
Short,Short,Short,Short,Short,Short,Short,Short,Short,Short,Short,Short,Short,Short,Short,Short,Short
Short,Short,Short,Short,Short,Short,Short,Short,Short,Short,Short,Short,Short,Short,Short,Short,Short
Short,Short,Short,Short,Short,Short,Short,Short,Short,Short,Short,Short,Short,Short,Short,Short,Short
Short,Short,Short,Short,Short,Short,Short,Short,Short,Short,Short,Short,Short,Short,Short,Short,Short
Short,Short,Short,Short,Short,Short,Short,Short,Short,Short,Short,Short,Short,Short,Short,Short,Short
Short,Short,Short,Short,Short,Short,Short,Short,Short,Short,Short,Short,Short,Short,Short,Short,Short
Short,Short,Short,Short,Short,Short,Short,Short,Short,Short,Short,Short,Short,Short,Short,Short,Short
Short,Short,Short,Short,Short,Short,Short,Short,Short,Short,Short,Short,Short,Short,Short,Short,Short
Short,Short,Short,Short,Short,Short,Short,Short,Short,Short,Short,Short,Short,Short,Short,Short,Short
Short,Short,Short,Short,Short,Short,Short,Short,Short,Short,Short,Short,Short,Short,Short,Short,Short
Short,Short,Short,Short,Short,Short,Short,Short,Short,Short,Short,Short,Short,Short,Short,Short,Short
Short,Short,Short,Short,Short,Short,Short,Short,Short,Short,Short,Short,Short,Short,Short,Short,Short
Short,Short,Short,Short,Short,Short,Short,Short,Short,Short,Short,Short,Short,Short,Short,Short,Short
Short,Short,Short,Short,Short,Short,Short,Short,Short,Short,Short,Short,Short,Short,Short,Short,Short
Short,Short,Short,Short,Short,Short,Short,Short,Short,Short,Short,Short,Short,Short,Short,Short,Short
Short,Short,Short,Short,Short,Short,Short,Short,Short,Short,Short,Short,Short,Short,Short,Short,Short
Short,Short,Short,Short,Short,Short,Short,Short,Short,Short,Short,Short,Short,Short,Short,Short,Short
Short,Short,Short,Short,Short,Short,Short,Short,Short,Short,Short,Short,Short,Short,Short,Short,Short
Short,Short,Short,Short,Short,Short,Short,Short,Short,Short,Short,Short,Short,Short,Short,Short,Short
Short,Short,Short,Short,Short,Short,Short,Short,Short,Short,Short,Short,Short,Short,Short,Short,Short
Short,Short,Short,Short,Short,Short,Short,Short,Short,Short,Short,Short,Short,Short,Short,Short,Short
Short,Short,Short,Short,Short,Short,Short,Short,Short,Short,Short,Short,Short,Short,Short,Short,Short
Short,Short,Short,Short,Short,Short,Short,Short,Short,Short,Short,Short,Short,Short,Short,Short,Short
Short,Short,Short,Short,Short,Short,Short,Short,Short,Short,Short,Short,Short,Short,Short,Short,Short
Short,Short,Short,Short,Short,Short,Short,Short,Short,Short,Short,Short,Short,Short,Short,Short,Short
Short,Short,Short,Short,Short,Short,Short,Short,Short,Short,Short,Short,Short,Short,Short,Short,Short
Short,Short,Short,Short,Short,Short,Short,Short,Short,Short,Short,Short,Short,Short,Short,Short,Short
Short,Short,Short,Short,Short,Short,Short,Short,Short,Short,Short,Short,Short,Short,Short,Short,Short
Short,Short,Short,Short,Short,Short,Short,Short,Short,Short,Short,Short,Short,Short,Short,Short,Short
Short,Short,Short,Short,Short,Short,Short,Short,Short,Short,Short,Short,Short,Short,Short,Short,Short
Short,Short,Short,Short,Short,Short,Short,Short,Short,Short,Short,Short,Short,Short,Short,Short,Short
Short,Short,Short,Short,Short,Short,Short,Short,Short,Short,Short,Short,Short,Short,Short,Short,Short
Short,Short,Short,Short,Short,Short,Short,Short,Short,Short,Short,Short,Short,Short,Short,Short,Short
Short,Short,Short,Short,Short,Short,Short,Short,Short,Short,Short,Short,Short,Short,Short,Short,Short
Short,Short,Short,Short,Short,Short,Short,Short,Short,Short,Short,Short,Short,Short,Short,Short,Short
Short,Short,Short,Short,Short,Short,Short,Short,Short,Short,Short,Short,Short,Short,Short,Short,Short
Short,Short,Short,Short,Short,Short,Short,Short,Short,Short,Short,Short,Short,Short,Short,Short,Short
Short,Short,Short,Short,Short,Short,Short,Short,Short,Short,Short,Short,Short,Short,Short,Short,Short
Short,Short,Short,Short,Short,Short,Short,Short,Short,Short,Short,Short,Short,Short,Short,Short,Short
Short,Short,Short,Short,Short,Short,Short,Short,Short,Short,Short,Short,Short,Short,Short,Short,Short
Short,Short,Short,Short,Short,Short,Short,Short,Short,Short,Short,Short,Short,Short,Short,Short,Short
Short,Short,Short,Short,Short,Short,Short,Short,Short,Short,Short,Short,Short,Short,Short,Short,Short
Short,Short,Short,Short,Short,Short,Short,Short,Short,Short,Short,Short,Short,Short,Short,Short,Short
Short,Short,Short,Short,Short,Short,Short,Short,Short,Short,Short,Short,Short,Short,Short,Short,Short
Short,Short,Short,Short,Short,Short,Short,Short,Short,Short,Short,Short,Short,Short,Short,Short,Short
Short,Short,Short,Short,Short,Short,Short,Short,Short,Short,Short,Short,Short,Short,Short,Short,Short
Short,Short,Short,Short,Short,Short,Short,Short,Short,Short,Short,Short,Short,Short,Short,Short,Short
Short,Short,Short,Short,Short,Short,Short,Short,Short,Short,Short,Short,Short,Short,Short,Short,Short
