BTCUSDT,ETHUSDT,XRPUSDT,SOLUSDT,TRXUSDT,WAVESUSDT,MATICUSDT,LTCUSDT,CHZUSDT,BCHUSDT,FTMUSDT,DOGEUSDT,BNBUSDT
2.2,2.2,2.3,1.3,2.2,1.7,0.0,0.0,1.4,1.5,1.5,1.6,1.6
2.2,2.0,1.2,1.3,1.9,1.6,1.3,0.0,1.3,0.0,1.6,2.2,0.0
2.2,2.0,1.2,1.3,1.9,1.6,1.3,0.0,1.3,0.0,1.6,2.2,0.0
2.2,2.0,1.2,1.3,1.9,1.6,1.3,100,1.3,100,1.6,2.2,100
2.2,2.0,1.4,1.3,1.9,1.6,1.3,2.0,1.3,2.0,1.6,2.2,2.0
2.2,2.0,1.4,1.3,1.9,1.6,1.4,2.0,1.4,2.0,1.6,2.2,2.0
100,100,2.5,2.8,2.3,1.8,1.0,2.6,1.7,2.5,1.6,100,1.5
1.9,1.8,2.7,2.8,2.2,1.5,1.3,1.0,1.3,1.3,1.6,1.8,1.6
2.0,1.1,2.5,1.2,2.5,1.5,2.0,2.6,1.8,2.9,1.6,1.8,2.5
2.0,2.3,2.5,1.3,2.5,1.7,2.0,2.6,1.0,2.9,100,1.8,2.5
